Month,satoshi: (Worldwide)
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,0
2010-11,0
2010-12,0
2011-01,0
2011-02,0
2011-03,0
2011-04,0
2011-05,0
2011-06,0
2011-07,0
2011-08,0
2011-09,51
2011-10,0
2011-11,91
2011-12,0
2012-01,91
2012-02,0
2012-03,0
2012-04,0
2012-05,0
2012-06,47
2012-07,0
2012-08,0
2012-09,34
2012-10,0
2012-11,0
2012-12,0
2013-01,0
2013-02,0
2013-03,29
2013-04,26
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,0
2013-10,20
2013-11,0
2013-12,0
2014-01,47
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,24
2014-10,0
2014-11,29
2014-12,0
2015-01,0
2015-02,43
2015-03,38
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,30
2015-10,0
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,28
2016-04,27
2016-05,0
2016-06,26
2016-07,0
2016-08,0
2016-09,0
2016-10,24
2016-11,0
2016-12,0
2017-01,0
2017-02,19
2017-03,0
2017-04,0
2017-05,0
2017-06,0
2017-07,0
2017-08,100
2017-09,0
2017-10,0
2017-11,0
2017-12,82
2018-01,0
2018-02,0
2018-03,0
2018-04,0
2018-05,0
2018-06,0
2018-07,85
2018-08,0
2018-09,0
2018-10,0
2018-11,0
2018-12,0
2019-01,0
2019-02,0
2019-03,31
2019-04,0
2019-05,0
2019-06,0
2019-07,33
2019-08,0
2019-09,0
2019-10,41
2019-11,0
2019-12,0
2020-01,0
2020-02,0
2020-03,46
2020-04,0
2020-05,0
2020-06,83
2020-07,0
2020-08,0
2020-09,42
2020-10,0
2020-11,0
2020-12,0
2021-01,0
2021-02,0
2021-03,0
2021-04,0
2021-05,0
2021-06,0
2021-07,36
2021-08,56
2021-09,0
2021-10,0
2021-11,0
2021-12,42
2022-01,96
2022-02,79
2022-03,53
2022-04,0
2022-05,52
2022-06,0
2022-07,39
2022-08,0
2022-09,0
2022-10,0
2022-11,30
2022-12,0
2023-01,0
2023-02,0
2023-03,0
2023-04,0
2023-05,0
2023-06,0
